question,answer_2022_08_22,answer_2022_08_25,similarity_score,length_diff,similarity_category
atención técnica,📞 ¿Te gustaría saber más sobre los horarios de atención o los tipos de problemas que pueden resolver en el servicio de atención técnica? Estoy aquí para ayudarte con cualquier duda que tengas.,"📞 Para contactar con el departamento de Atención Técnica, puedes hacerlo mediante el centro de asistencia que encontrarás en la parte derecha del campus o a través del número de teléfono 941 610 025. El servicio de atención técnica está disponible las 24 horas. ¿Hay algo más en lo que pueda ayudarte?",0.7342799188640974,109,High (0.6-0.8)
no me deja poner la asistencia a clase,"📅 El registro de asistencias a clases en directo se realiza de manera automatizada y se contabiliza al final del cuatrimestre. Asegúrate de estar presente al menos el 80% de la duración de la sesión para que se registre. Si sigues teniendo problemas, considera contactar con Atención Técnica. ¿Hay algo más en lo que pueda ayudarte?",🛠️ ¿Podrías darme más detalles sobre el problema que estás experimentando? ¿Te refieres a que no puedes acceder a la opción de asistencia o a que no se registra correctamente? Estoy aquí para ayudarte a resolverlo.,0.7362637362637363,118,High (0.6-0.8)
y el número de teléfono de la unir,📞 ¿Podrías aclarar a qué departamento o servicio de UNIR te gustaría contactar? Así podré proporcionarte la información más relevante y útil.,"📞 ¿Te refieres a un número de contacto específico, como el de Atención Técnica o el de tu mentor/a? Puedo proporcionarte más detalles sobre esos números si lo necesitas.",0.7419354838709677,28,High (0.6-0.8)
número de teléfono de mi tutora,"📞 Puedes contactar a tu mentor/a al número 941 610 026. Si necesitas contactar a IRENE MENDAZA RUIZ, utiliza la extensión 4024, y si es a MANUEL GALARRETA ESPINOSA, la extensión es 5001. ¿Hay algo más en lo que pueda ayudarte?","📞 Puedes contactar a tu mentor/a al teléfono 941 610 026. Si necesitas más información sobre tu mentor específico, házmelo saber. ¿Hay algo más en lo que pueda ayudarte?",0.7443037974683544,57,High (0.6-0.8)
podria facilitarme el correo de mi tutora?,"📧 Puedes contactar a tu mentora, IRENE MENDAZA RUIZ, a través de la 'Bandeja de entrada' del campus virtual. Allí podrás enviarle un mensaje directamente. ¿Hay algo más en lo que pueda ayudarte?","😅 Lamentablemente, no puedo proporcionarte el correo de tu tutora, ya que no hay ningún mentor asignado en este momento. Si necesitas ayuda adicional, no dudes en preguntar.",0.7520435967302452,21,High (0.6-0.8)
"hola, no me aparece el modulo para la inscrpción de los examenes. me brinda orientación.",🛠️ ¿Podrías confirmar si ya has verificado el plazo de inscripción y si estás accediendo al apartado correcto en el campus? También sería útil saber si has intentado contactar a tu mentor para resolver este inconveniente.,"📅 Para inscribirte en los exámenes, asegúrate de acceder a la pestaña 'Exámenes' en el margen izquierdo o en la parte superior de tu campus virtual. Recuerda que el enlace se activa cinco minutos antes de la hora de inicio. Si el problema persiste, contacta con tu mentor para obtener más ayuda. ¿Hay algo más en lo que pueda ayudarte?",0.7553956834532374,114,High (0.6-0.8)
correo estudiante,¿En qué puedo ayudarte hoy relacionado con la Universidad Internacional de La Rioja? 😊,📧 Tu correo institucional de UNIR es: mariavictoria.cruz638@comunidadunir.net. ¿Hay algo más en lo que pueda ayudarte?,0.7647058823529411,32,High (0.6-0.8)
quiero cargar un archivo pero no puedo porque es demasiado grande,"📁 Recuerda que para entregar tu examen en formato Word, la capacidad máxima es de 25 MB. Si tu archivo excede este límite, tendrás que reducir su tamaño. Para los anexos, la capacidad es de 150 MB. ¿Hay algo más en lo que pueda ayudarte?","📁 ¿Podrías especificar qué tipo de archivo estás intentando cargar y su tamaño? Así podré ayudarte mejor. También, ¿has considerado dividir el archivo o convertirlo a un formato más ligero para cumplir con los límites de tamaño?",0.7655913978494624,9,High (0.6-0.8)
contactar mentor unir,"📞 Tu mentor asignado es IRENE MENDAZA RUIZ. Puedes contactarla al teléfono 941 610 026 con extensión 4024 o a través del correo electrónico del Campus Virtual desde ""Bandeja de entrada"". También tienes a MANUEL GALARRETA ESPINOSA como mentor, con el mismo número de teléfono, pero con extensión 5001. ¿Hay algo más en lo que pueda ayudarte?","😅 Actualmente no tienes un mentor asignado. Si necesitas ayuda adicional, puedes contactar con el equipo de atención técnica o consultar el Aula de Información General para más información sobre el proceso. ¿Hay algo más en lo que pueda ayudarte?",0.7713310580204779,94,High (0.6-0.8)
dónde escribo el mensaje,✉️ ¿Te refieres a cómo enviar un mensaje a tu mentor/a o a tus profesores? Puedo proporcionarte información sobre las diferentes formas de comunicación disponibles en el campus virtual. ¿O estás buscando algo más específico sobre el envío de mensajes?,"✉️ ¿Podrías aclarar a quién deseas enviar el mensaje? ¿Te refieres a contactar a tu mentor, a un profesor o a tus compañeros? Estoy aquí para ayudarte con la información que necesites.",0.7724137931034483,67,High (0.6-0.8)
no puedo entrar al campus,"😅 Si no puedes entrar al campus, te recomiendo que contactes con Atención Técnica mediante el centro de asistencia que encontrarás en la parte derecha del campus o a través del número de teléfono 941 610 025. El servicio de atención técnica está disponible las 24 horas. ¿Hay algo más en lo que pueda ayudarte?",🔧 ¿Podrías darme más detalles sobre el problema que estás enfrentando al intentar acceder al campus? ¿Recibes algún mensaje de error o hay algún paso específico en el que te quedas atascado? Estoy aquí para ayudarte a resolverlo.,0.7792207792207793,81,High (0.6-0.8)
como puede acceder a area de estudiantes,🏫 ¿Te refieres a cómo acceder al campus virtual en general o a un área específica dentro de él? Puedo proporcionarte detalles sobre cómo navegar en el campus y encontrar la información que necesitas.,"🏫 Para acceder al área de estudiantes, puedes ir a www.unir.net y dirigirte a la sección 'ACCESO ESTUDIANTES'. También puedes regresar a la página principal del campus haciendo clic en el logo de UNIR en la parte superior. ¿Hay algo más en lo que pueda ayudarte?",0.7809110629067245,63,High (0.6-0.8)
como me descargo zip,"📥 ¿Te refieres a descargar un archivo ZIP específico de los programas disponibles en el apartado de descargas? Si es así, puedo ayudarte a encontrar más detalles sobre cómo acceder a esa sección o cualquier otro aspecto relacionado con las descargas.",📥 ¿Podrías aclarar a qué tipo de archivo zip te refieres? ¿Estás buscando descargar un programa específico o un documento del campus virtual? Estoy aquí para ayudarte con cualquier duda que tengas.,0.7829977628635347,53,High (0.6-0.8)
pero lo van a ver mas alumnos?,👥 ¿Te refieres a si otros estudiantes estarán presentes durante tu defensa de TFE o en la sala de prueba? Estoy aquí para ayudarte a aclarar cualquier duda que tengas sobre el proceso.,"🤔 Creo que necesito un poco más de información para ayudarte mejor. ¿Te refieres a si otros alumnos podrán ver tus trabajos o actividades en UNIR? Si es así, puedo ofrecerte información sobre la plataforma y cómo funciona. ¡Estoy aquí para ayudarte!",0.7852193995381063,65,High (0.6-0.8)
la parte de evaluacion continua tiene una nota minima?,📚 ¿Podrías aclarar si te refieres a la nota mínima necesaria para aprobar la evaluación continua en general o en alguna asignatura específica? Estoy aquí para ayudarte con cualquier duda que tengas.,"📊 La evaluación continua no tiene una nota mínima específica, pero es recomendable realizarla ya que puede contribuir hasta un 40% de la nota final. Recuerda que debes superar la nota del examen para que se considere la evaluación continua. ¿Hay algo más en lo que pueda ayudarte?",0.7866108786610879,82,High (0.6-0.8)
y realizando los test? podria?,"📚 Podrás encontrar los test dentro de cada una de las asignaturas, en los apartados ‘Envío de actividades’, ‘Test’ o al final de cada tema. ¿Hay algo más en lo que pueda ayudarte?","📚 Podrás encontrar los test dentro de cada una de las asignaturas, en los apartados ‘Envío de actividades’, ‘Test’ o al final de cada tema. Allí también podrás consultar la fecha límite de entrega y la puntuación máxima que otorgan. ¿Hay algo más en lo que pueda ayudarte?",0.7937915742793792,93,High (0.6-0.8)
"descripción buenas tardes,  el otro día hablando con mi mentora descubrí que cuando tengo acceso al campus no me deja elegir los cursos que tengo matriculados.  entro directamente a lo que es el grado. esto dificulta que yo pueda ver los talleres que","📚 Las aulas de tus asignaturas se activarán el día de inicio de docencia en cada cuatrimestre. Si no puedes acceder a los talleres o cursos, te recomiendo que contactes a tu mentor para que te ayude a resolver este inconveniente. ¿Hay algo más en lo que pueda ayudarte?",🧭 ¿Podrías especificar si necesitas ayuda para acceder a los talleres o si buscas información sobre cómo visualizar tus cursos matriculados? También puedo ofrecerte detalles sobre las sesiones informativas que te ayudarán a familiarizarte con la plataforma.,0.7946768060836502,12,High (0.6-0.8)
si se suspende un examen ¿cuando se recupera?,📅 ¿Te refieres a las fechas específicas para la recuperación de exámenes suspendidos? También podría ser útil saber si estás interesado en las convocatorias extraordinarias o en el proceso de revisión de exámenes. Estoy aquí para ayudarte con cualquier duda que tengas.,"📅 Si has suspendido alguna asignatura, puedes consultar si en tu estudio existe una convocatoria de exámenes extraordinaria en el calendario académico. ¿Hay algo más en lo que pueda ayudarte?",0.7956521739130434,78,High (0.6-0.8)
"hola, estoy buscando como descargar microsoft office","📥 Puedes descargar de manera gratuita un conjunto de programas, incluyendo Microsoft Office, en el apartado Información/Servicios para Estudiantes > Descargas según tu plataforma. Accede desde el menú desplegable del margen izquierdo o en la parte superior, según tu plataforma. ¿Hay algo más en lo que pueda ayudarte?",📚 Puedes descargar de manera gratuita un conjunto de programas que tienes disponibles en el apartado Información/Servicios para Estudiantes > Descargas según tu plataforma. ¿Hay algo más en lo que pueda ayudarte?,0.7962264150943397,106,High (0.6-0.8)
cómo puedo saber si tengo bien hecha la prueba de conectividad?,"🔍 Para asegurarte de que la prueba de conectividad está bien hecha, debes realizarla desde tu plataforma virtual accediendo a la sección de Exámenes. Asegúrate de que el sistema de monitorización esté activo, que la cámara web y el dispositivo con segunda cámara funcionen correctamente, así como el micrófono y la grabación de entorno 360. ¿Hay algo más en lo que pueda ayudarte?",🤖 No tengo información específica sobre cómo saber si la prueba de conectividad está bien hecha. Te recomendaría que revises los requisitos de la prueba y asegúrate de que todos los dispositivos y configuraciones estén en orden. ¿Hay algo más en lo que pueda ayudarte?,0.7993827160493827,112,High (0.6-0.8)
"si no he realizado ninguna actividad y apruebo el exámen, apruebo la asignatura?","📚 En las asignaturas donde no es obligatorio superar la evaluación continua, puedes aprobar presentándote al examen. Sin embargo, si no has entregado actividades, deberás obtener una puntuación muy alta en el examen. Es recomendable realizar la evaluación continua para facilitar el estudio y el aprobado final. ¿Hay algo más en lo que pueda ayudarte?","📚 Sí, puedes aprobar la asignatura si apruebas el examen, incluso si no has realizado ninguna actividad de evaluación continua. Sin embargo, necesitarás obtener una puntuación muy alta en el examen. ¿Hay algo más en lo que pueda ayudarte?",0.801358234295416,113,Very High (0.8-1.0)
he realizado el primer test de dificultades de aprendizaje y segun los apuntes hay respuestas supuestamente correctas que me las ha corregido como incorrectas. en clase otros compañeros han comentado lo mismo. escribo mi problema por aqui ya que no me deja escribir en el foro de clase. gracias!,📝 ¿Podrías especificar si necesitas ayuda para comunicarte con tu mentor/a sobre las correcciones del test o si deseas saber cómo reportar un posible error en el examen? Estoy aquí para ayudarte con cualquier duda que tengas.,"📞 Si crees haber detectado una errata en el test, puedes comunicarlo a través de los teléfonos de atención durante los exámenes para que se revise ese ejercicio. Si ya han finalizado, te recomiendo que contactes a tu mentor/a para que te ayude con esta situación. ¿Hay algo más en lo que pueda ayudarte?",0.803030303030303,78,Very High (0.8-1.0)
